Provider,TotalClaims,TotalReimbursed,AvgReimbursed,AvgClaimDuration,AvgDaysInHospital,UniquePatients,UniqueAttendPhys,SameAttendOperRate,AvgChronicConds,InpatientRatio,PotentialFraud
PRV51001,25,104640,4185.6,1.44,5.0,24,14,0.0,5.56,0.2,No
PRV51003,132,605670,4588.409090909091,3.6742424242424243,5.161290322580645,117,44,0.2727272727272727,4.545454545454546,0.4696969696969697,Yes
PRV51004,149,52170,350.13422818791946,1.429530201342282,0.0,138,38,0.08053691275167785,4.342281879194631,0.0,No
PRV51005,1165,280910,241.1244635193133,1.088412017167382,0.0,495,6,0.11244635193133047,4.335622317596567,0.0,Yes
PRV51007,72,33710,468.19444444444446,0.9583333333333334,5.333333333333333,58,10,0.09722222222222222,4.166666666666667,0.041666666666666664,No
PRV51008,43,35630,828.6046511627907,1.5348837209302326,4.0,36,10,0.09302325581395349,3.9069767441860463,0.046511627906976744,No
PRV51011,58,16630,286.7241379310345,0.5517241379310345,5.0,53,28,0.15517241379310345,4.586206896551724,0.017241379310344827,No
PRV51012,48,16890,351.875,3.7083333333333335,0.0,31,14,0.16666666666666666,4.625,0.0,No
PRV51013,46,14880,323.4782608695652,1.4565217391304348,0.0,44,9,0.1956521739130435,4.413043478260869,0.0,No
PRV51014,30,10480,349.3333333333333,0.4666666666666667,0.0,25,7,0.16666666666666666,4.333333333333333,0.0,No
PRV51015,8,700,87.5,0.375,0.0,7,3,0.125,6.375,0.0,No
PRV51017,515,142720,277.126213592233,1.3572815533980582,0.0,420,113,0.08932038834951456,4.36504854368932,0.0,No
PRV51021,257,348830,1357.3151750972763,2.0,4.758620689655173,208,69,0.01556420233463035,4.715953307392996,0.11284046692607004,Yes
PRV51023,36,65610,1822.5,3.6666666666666665,3.5555555555555554,35,14,0.1388888888888889,4.361111111111111,0.25,No
PRV51024,39,64050,1642.3076923076924,1.641025641025641,4.333333333333333,38,13,0.10256410256410256,4.717948717948718,0.23076923076923078,No
PRV51025,87,118350,1360.344827586207,2.1724137931034484,7.0,76,35,0.13793103448275862,4.436781609195402,0.14942528735632185,No
PRV51026,76,19840,261.05263157894734,1.0921052631578947,0.0,56,29,0.07894736842105263,4.078947368421052,0.0,No
PRV51027,53,29840,563.0188679245283,2.1320754716981134,0.0,44,10,0.16981132075471697,4.830188679245283,0.0,No
PRV51029,93,30660,329.6774193548387,0.6989247311827957,0.0,79,38,0.11827956989247312,3.913978494623656,0.0,No
PRV51030,171,739760,4326.081871345029,3.198830409356725,4.621951219512195,145,46,0.30409356725146197,4.7894736842105265,0.47953216374269003,No
PRV51031,185,359720,1944.4324324324325,2.0,5.535714285714286,157,60,0.07567567567567568,4.956756756756757,0.15135135135135136,No
PRV51032,23,5420,235.65217391304347,0.9130434782608695,0.0,21,10,0.13043478260869565,4.434782608695652,0.0,No
PRV51035,30,32560,1085.3333333333333,2.2666666666666666,14.0,25,18,0.2,4.933333333333334,0.03333333333333333,No
PRV51036,278,74880,269.3525179856115,1.0503597122302157,0.0,131,5,0.15467625899280577,4.399280575539568,0.0,No
PRV51037,454,342230,753.8105726872246,1.5330396475770924,4.565217391304348,206,3,0.16299559471365638,4.656387665198238,0.05066079295154185,Yes
PRV51038,141,265490,1882.9078014184397,1.7801418439716312,4.033333333333333,107,44,0.0851063829787234,4.843971631205674,0.2127659574468085,No
PRV51040,86,74470,865.9302325581396,1.6627906976744187,10.555555555555555,69,15,0.16279069767441862,4.372093023255814,0.10465116279069768,No
PRV51041,34,7410,217.94117647058823,2.3529411764705883,0.0,31,9,0.11764705882352941,4.088235294117647,0.0,No
PRV51042,142,48050,338.38028169014086,1.232394366197183,0.0,128,52,0.07042253521126761,4.070422535211268,0.0,No
PRV51043,23,4480,194.7826086956522,0.0,0.0,20,6,0.08695652173913043,4.260869565217392,0.0,No
